<<<<<<< HEAD
48 23 112
78 16 116
94 36 116
87 93 93
50 22 112
63 28 113
91 60 116
64 27 113
41 27 112
73 37 116
12 69 113
68 30 113
83 31 116
63 24 113
68 36 113
30 3 112
23 59 113
70 68 15
94 57 116
12 43 112
30 74 116
22 20 16
85 38 116
99 25 119
16 71 113
14 27 112
92 81 111
57 74 116
63 71 108
97 82 119
6 26 24
85 28 116
37 6 112
47 30 110
14 58 113
25 96 116
83 46 116
15 68 113
35 65 113
44 51 105
88 9 116
77 79 36
89 85 31
4 52 112
55 100 119
33 61 113
77 69 116
40 13 112
27 87 116
95 40 116
96 71 116
35 79 116
68 2 113
98 3 119
18 93 116
53 57 113
2 81 116
87 42 116
66 90 116
45 20 112
41 30 110
32 18 112
98 72 119
82 76 111
10 28 112
68 57 108
98 54 119
87 66 116
7 84 116
20 25 24
29 72 113
33 30 107
4 20 21
71 69 103
9 16 20
41 50 110
97 24 119
19 46 112
47 52 105
22 56 113
80 89 111
65 29 113
42 51 105
94 1 116
35 65 113
25 15 24
88 57 116
44 92 116
28 66 113
60 37 113
33 52 110
38 29 107
76 8 116
75 22 116
59 96 116
30 38 107
36 94 116
19 29 112
44 12 112
29 30 19
77 5 116
44 64 113
14 39 112
7 41 112
5 19 21
29 89 116
70 18 113
18 97 119
25 44 112
71 84 116
91 100 119
73 26 116
45 91 116
6 40 112
55 87 116
70 83 116
43 65 113
98 8 119
56 5 113
49 12 112
23 29 112
100 44 119
47 69 113
41 23 112
12 11 15
6 2 9
62 31 113
79 6 116
21 37 112
45 27 112
23 66 113
9 17 20
83 59 116
25 38 112
63 25 113
1 37 112
53 100 119
80 51 116
69 72 103
74 32 116
82 31 116
34 95 116
61 64 108
100 82 119
100 97 119
60 74 116
14 69 113
91 96 106
27 67 113
85 41 116
91 85 93
77 43 116
37 8 112
46 57 113
80 19 116
88 13 116
49 73 116
60 10 113
37 11 112
43 88 116
7 2 17
14 73 116
22 56 113
20 100 119
22 5 21
40 12 112
41 68 113
6 29 112
28 51 110
85 59 116
21 25 24
23 70 113
97 82 119
31 85 116
93 73 116
73 51 116
26 86 116
23 100 119
41 43 110
99 14 119
99 91 119
25 91 116
10 82 116
20 37 112
33 56 113
95 5 116
80 70 116
74 77 23
51 56 113
61 43 113
80 85 111
94 6 116
22 68 113
5 14 20
62 55 113
27 60 113
45 3 112
3 7 17
85 22 116
43 69 113
=======
384 887 179
778 916 179
794 336 171
387 493 142
650 422 145
363 28 144
691 60 145
764 927 179
541 427 142
173 737 171
212 369 144
568 430 142
783 531 171
863 124 171
68 136 122
930 803 179
23 59 113
70 168 122
394 457 134
12 43 112
230 374 144
422 920 179
785 538 171
199 325 131
316 371 144
414 527 142
92 981 179
957 874 174
863 171 171
997 282 179
306 926 179
85 328 144
337 506 142
847 730 153
314 858 171
125 896 179
583 546 137
815 368 171
435 365 134
44 751 171
88 809 171
277 179 128
789 585 171
404 652 145
755 400 171
933 61 179
677 369 145
740 13 171
227 587 144
95 540 144
796 571 171
435 379 134
468 602 142
98 903 179
318 493 144
653 757 171
302 281 118
287 442 144
866 690 171
445 620 142
441 730 171
32 118 119
98 772 171
482 676 145
710 928 179
568 857 171
498 354 142
587 966 179
307 684 145
220 625 144
529 872 179
733 830 153
504 20 144
271 369 144
709 716 65
341 150 144
797 724 153
619 246 144
847 452 171
922 556 179
380 489 142
765 229 171
842 351 171
194 501 144
35 765 171
125 915 179
988 857 179
744 492 171
228 366 144
860 937 179
433 552 142
438 229 144
276 408 144
475 122 144
859 396 171
30 238 128
236 794 171
819 429 171
144 12 122
929 530 179
777 405 171
444 764 171
614 539 137
607 841 171
905 819 179
129 689 145
370 918 179
918 997 174
325 744 171
471 184 144
491 500 142
773 726 153
645 591 132
506 140 144
955 787 179
670 83 145
543 465 142
198 508 144
356 805 171
349 612 142
623 829 171
300 344 144
747 569 171
341 423 134
312 811 171
606 802 171
662 731 171
879 306 179
321 737 171
445 627 142
523 466 142
709 417 171
283 259 123
925 638 179
63 625 144
601 37 144
453 900 179
380 551 142
469 72 144
974 132 179
882 931 148
934 895 130
661 164 145
200 982 179
900 997 174
960 774 179
814 669 171
191 96 125
927 467 179
85 341 144
91 685 145
377 543 142
937 108 179
446 757 171
180 419 144
888 413 179
349 173 144
660 10 145
337 211 144
343 588 142
207 302 128
714 373 171
322 256 131
820 600 171
722 905 179
940 812 179
941 668 179
706 229 171
128 151 122
985 659 179
921 225 179
423 270 144
397 82 144
631 85 144
293 973 179
673 851 171
626 386 142
223 300 128
641 43 144
899 714 179
299 191 128
525 591 137
210 582 144
820 337 171
733 156 171
995 5 179
380 770 171
274 777 171
851 256 171
861 143 171
580 885 179
994 206 179
622 568 132
505 614 137
962 755 179
327 260 144
945 203 179
203 507 144
785 22 171
843 869 148
>>>>>>> 6180842dcfa583d8f2feb2627c09fed3dacebfa2
529 190 144
873 909 148
959 499 179
37 809 171
754 249 171
304 334 144
134 649 145
891 755 179
568 747 171
369 530 142
501 47 144
789 798 122
250 991 179
304 34 128
364 498 142
254 893 179
687 126 145
153 997 179
976 189 179
158 730 171
437 461 129
415 922 179
461 305 144
29 28 19
51 749 171
557 903 179
795 698 171
700 44 145
40 3 112
429 404 134
501 682 145
648 539 137
160 152 86
536 135 144
340 693 145
216 128 125
505 630 137
50 965 179
286 430 144
344 336 126
178 901 179
239 972 179
950 290 179
368 989 179
293 796 171
744 145 171
830 391 171
683 341 145
542 570 137
827 233 171
262 43 128
361 118 144
24 762 171
82 310 128
191 426 144
997 368 179
678 235 145
691 627 145
525 58 144
615 169 144
206 359 144
313 387 144
101 347 144
727 995 179
917 553 179
579 530 137
947 291 179
648 971 179
52 81 116
632 594 132
858 628 171
313 887 179
215 356 144
513 91 144
413 480 134
611 970 179
190 275 128
356 642 142
621 434 142
988 889 174
339 567 142
771 285 171
857 418 171
607 261 144
850 238 171
206 60 125
218 519 144
946 784 179
874 459 179
874 638 179
290 484 144
608 479 142
758 315 171
472 730 171
101 460 144
619 439 142
26 389 144
75 234 128
158 682 145
494 359 142
271 700 145
418 840 171
570 364 142
623 795 171
174 848 171
432 463 129
683 391 145
293 792 171
58 116 119
522 158 144
575 492 137
948 952 37
232 22 128
538 741 171
55 31 113
99 326 131
82 517 144
517 3 144
232 140 128
797 405 171
339 581 142
219 22 125
971 863 179
813 380 171
978 686 179
537 905 179
177 484 144
208 760 171
858 745 153
500 912 179
128 951 179
237 561 144
819 106 171
564 50 144
245 712 171
806 935 179
292 376 144
956 615 179
590 769 171
994 919 174
806 883 179
823 983 179
718 31 171
94 575 144
127 594 144
487 254 144
544 75 144
815 714 153
180 378 144
763 776 153
89 920 179
711 733 140
295 18 128
347 236 144
138 692 145
154 944 179
574 329 142
926 292 179
711 19 171
218 837 171
964 56 179
91 859 171
131 905 179
572 662 145
634 686 145
